en,ko
Platform Engineering,플랫폼 엔지니어링
Internal Developer Platform,내부 개발자 플랫폼
Internal Developer Portal,내부 개발자 포털
Product,프로덕트
Self-Service,셀프 서비스
Digital Platform,디지털 플랫폼
Delivery Infrastructure,딜리버리 인프라
Delivery Infrastructure Platform,딜리버리 인프라 플랫폼
DevOps,데브옵스
Orchestration,오케스트레이션
Managed Service Provider,관리형 서비스 공급자
Backlog Coupling,백로그 결합
Agile,애자일
Scaling Agile,애자일 확장
Superficial Private Cloud,피상적 프라이빗 클라우드
Team-Managed Infrastructure,팀 관리 인프라
Paved Road,포장된 도로
Availability,가용성
Evangelism,에반젤리즘
Cloud Native Landscape,클라우드 네이티브 랜드스케이프
Golden Path,골든 패스
Platform Engineer,플랫폼 엔지니어
Infrastructure,인프라
